,Site_Id,Read_Date,Salinity (ppt),Dissolved Oxygen (mg/L),pH (standard units),Secchi Depth (m),Water Depth (m),Water Temp (?C),Air Temp (?F),Time (24:00),AirTemp (C),Year
57,Bay,1990-01-22,1.0,9.7,7.5,0.15,0.65,10.0,53.6,14:24,12.0,1990
59,Bay,1990-02-07,3.4,10.8,7.5,0.2,0.6,10.0,50.0,0:00,10.0,1990
60,Bay,1990-02-12,3.2,10.6,7.0,0.2,0.7,10.0,48.2,4:48,9.0,1990
61,Bay,1990-02-20,4.2,11.6,7.5,0.15,0.39,5.0,41.0,0:00,5.0,1990
62,Bay,1990-02-27,2.8,13.8,7.0,0.5,1.5,2.5,33.8,19:12,1.0,1990
63,Bay,1990-03-05,2.9,11.6,7.0,0.2,0.4,7.0,47.3,7:12,8.5,1990
64,Bay,1990-03-12,2.9,9.0,7.0,0.15,0.69,17.0,69.8,19:12,21.0,1990
65,Bay,1990-03-19,2.8,7.8,7.0,0.22,0.92,15.0,57.2,4:48,14.0,1990
66,Bay,1990-03-26,3.0,10.8,7.0,0.25,0.4,9.5,48.2,4:48,9.0,1990
67,Bay,1990-04-02,1.8,9.6,8.0,0.15,0.7,5.0,59.0,0:00,15.0,1990
68,Bay,1990-04-09,4.1,10.8,7.0,0.25,0.78,11.0,53.6,14:24,12.0,1990
69,Bay,1990-04-16,2.5,9.7,7.0,0.25,0.72,15.0,57.2,4:48,14.0,1990
70,Bay,1990-04-23,2.8,10.7,7.0,0.25,0.59,15.0,59.0,0:00,15.0,1990
71,Bay,1990-04-30,3.2,10.0,7.0,0.88,1.3,18.0,60.8,19:12,16.0,1990
72,Bay,1990-05-07,4.5,8.9,7.0,0.25,0.75,17.0,64.4,9:36,18.0,1990
73,Bay,1990-05-14,3.7,8.4,7.0,0.32,1.0,20.0,66.2,4:48,19.0,1990
75,Bay,1990-05-29,2.1,8.9,7.0,0.375,0.95,19.0,68.0,0:00,20.0,1990
76,Bay,1990-06-04,3.5,6.9,7.0,0.4,1.22,24.0,77.0,0:00,25.0,1990
77,Bay,1990-06-11,3.2,7.9,7.0,0.35,0.75,24.0,71.6,14:24,22.0,1990
78,Bay,1990-06-16,3.2,7.7,7.0,0.32,0.62,23.5,68.0,0:00,20.0,1990
79,Bay,1990-06-24,3.8,7.9,7.0,0.35,0.91,26.0,78.8,19:12,26.0,1990
80,Bay,1990-07-02,3.7,7.8,7.0,0.35,0.78,24.0,74.3,7:12,23.5,1990
81,Bay,1990-07-09,4.2,7.5,7.5,0.3,0.82,26.0,79.7,16:48,26.5,1990
83,Bay,1990-07-26,4.2,6.9,7.75,0.375,0.48,27.0,78.8,19:12,26.0,1990
84,Bay,1990-08-06,4.2,7.7,8.0,0.4,0.98,26.0,78.8,19:12,26.0,1990
85,Bay,1990-08-13,4.2,7.8,8.0,0.35,0.82,27.0,80.6,14:24,27.0,1990
86,Bay,1990-08-27,4.2,8.9,8.0,0.35,0.94,27.0,83.3,7:12,28.5,1990
87,Bay,1990-09-04,2.9,8.1,8.0,0.25,0.68,23.0,75.2,4:48,24.0,1990
88,Bay,1990-09-17,2.4,8.8,8.0,0.25,0.78,21.0,64.4,9:36,18.0,1990
